חותמת זמן,Discrete mathematics:,Linear Algebra 1,Linear Algebra 2,Infinitesimal Calculus 1,Infinitesimal Calculus 2,Probability and Introduction to Statistics,Introduction to Computer Science and the Java Language,Data Structure and Introduction to Algorithms,Algorithms,Systems Programming Laboratory,Computational models,Computer organization,Logic for Computer Science,Operating systems,Introduction to computational and complexity theory,שפות תכנות,מה לדעתך חלון הזמן האידיאלי בין 2 מבחנים ממוצעים וזהים מבחינת דרישת הזמן ללמידה?,האם יש לך העדפות לגשת לבחינה בימים/זמנים מסוימים? אם כן מהם?
09/12/2024 17:23:46,2.5,,,,,2.5,3,2,3,1,,2.5,2.5,,,,,
09/12/2024 17:26:41,2,3,3,3,3,,2,3,3,1,,2.5,,,,,שבוע וחצי,לגשת במועד השני
09/12/2024 17:56:52,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,,
09/12/2024 17:58:29,2,3,2,3,3,3,2,,3,2.5,2.5,,2,,,,,
09/12/2024 18:00:40,1,3,3,,,,,,,,,2,,,,,,
09/12/2024 18:01:42,2.5,2,2,2.5,3,2.5,2.5,2,3,1,,2.5,1,2,,,3-5 ימים,
09/12/2024 18:01:51,2.5,,,,,,,,,,,,,,,,,
09/12/2024 18:05:33,2.5,2.5,2.5,2.5,2,2.5,,1,,,,,1,,,,,
09/12/2024 18:09:22,,,,3,3,3,2,,,3,,,,,,,"אם הכוונה בלגשת למועד ב במבחן עדיף לגשת למועד הכי קרוב למועד א שניתן, כך שהחומר עדיין זמין בראש. אם הכוונה היא לשני מבחנים בשני קורסים שונים הייתי לוקח מועד רחוקים בהפרש של שבועיים לפחות בין שני המבחנים כדי שיהיה זמן ללמוד למבחן השני עם ראש פנוי מהמבחן הראשון",
09/12/2024 18:09:30,2.5,3,3,3,3,2,3,2,3,1,2.5,2.5,2.5,2,2.5,2.5,,
09/12/2024 18:10:55,2.5,1,2.5,2,2,1,2.5,2.5,3,1,2.5,1,1,2.5,2.5,2.5,שבועיים,כן. לא בתחילת שבוע וזה נחמד כשזה בסוף שבוע- כשאין שבת באמצע ואז לומדים כל השבוע (אני לא לומדת בשבת)
09/12/2024 18:12:23,,3,,3,,,3,,,,,,,,,,,
09/12/2024 18:12:46,,,,,,,,,,,,,,,,,,
09/12/2024 18:17:27,2,,,,,,,,,,,,,,,,,
09/12/2024 18:23:38,2.5,2,2,3,3,,2,2.5,,2.5,,,,,,,שבועיים-שלוש,אין העדפה
09/12/2024 18:24:39,2.5,,,2,,,2,2,,1,,2.5,,,,,שבוע וחצי,
09/12/2024 18:25:59,2.5,2,2,3,3,1,2,2,3,2.5,1,1,1,2.5,1,2.5," תלוי, אבל שבוע",
09/12/2024 18:27:28,2.5,3,3,3,3,,2,2,,2.5,,2,,,,,,
09/12/2024 18:27:40,,,,,,,2.5,,,,,,,,,,,
09/12/2024 18:27:56,,,,,,,,,,,,,,,,,,
09/12/2024 18:28:04,2.5,,,,,2.5,,2,,2.5,,2.5,1,,,,,
09/12/2024 18:34:46,2,,,,,,,,,,,,,,,,,
09/12/2024 18:36:00,2.5,3,2,2,3,2,3,3,3,,3,2.5,1,,,,,
09/12/2024 18:39:12,2,,,3,3,,3,,,,,,,,,2,,
09/12/2024 18:42:17,,,,,,,,,,,,,,,,,,
09/12/2024 18:45:10,,3,3,2,2,3,3,3,2,3,3,1,1,3,3,3,,
09/12/2024 18:45:43,1,2.5,2,2.5,3,1,3,2,3,2.5,,2.5,2.5,2,,,,
09/12/2024 18:46:14,2.5,3,3,3,3,3,2,2,3,2.5,,,,,,,,
09/12/2024 18:49:09,2,,,3,,,3,,,,,,,,,,,
09/12/2024 18:53:18,3,3,3,3,3,3,3,3,3,3,,,,,,,,
09/12/2024 19:00:03,2.5,2,2,2,2,,,,,,,,,,,,,
09/12/2024 19:04:53,,,,,,,,,,,,,,,,,,
